Data,ETF,FED
23/09/2011,24.89,0.25
27/09/2011,25.04,0.25
28/09/2011,25.14,0.25
29/09/2011,24.91,0.25
30/09/2011,25.02,0.25
03/10/2011,25.13,0.25
04/10/2011,24.94,0.25
05/10/2011,24.91,0.25
06/10/2011,24.92,0.25
07/10/2011,24.87,0.25
10/10/2011,24.99,0.25
11/10/2011,24.85,0.25
12/10/2011,24.77,0.25
13/10/2011,24.69,0.25
14/10/2011,24.74,0.25
17/10/2011,24.79,0.25
18/10/2011,24.82,0.25
19/10/2011,24.84,0.25
20/10/2011,24.84,0.25
21/10/2011,24.85,0.25
24/10/2011,24.86,0.25
25/10/2011,25.02,0.25
26/10/2011,24.96,0.25
27/10/2011,24.87,0.25
28/10/2011,24.94,0.25
31/10/2011,25.15,0.25
01/11/2011,25.27,0.25
02/11/2011,25.4,0.25
03/11/2011,25.28,0.25
04/11/2011,25.43,0.25
07/11/2011,25.39,0.25
08/11/2011,25.37,0.25
09/11/2011,25.28,0.25
10/11/2011,25.35,0.25
11/11/2011,25.32,0.25
14/11/2011,25.27,0.25
15/11/2011,25.27,0.25
16/11/2011,25.23,0.25
17/11/2011,25.2,0.25
18/11/2011,25.53,0.25
21/11/2011,25.17,0.25
22/11/2011,25.13,0.25
23/11/2011,25.31,0.25
25/11/2011,25.24,0.25
28/11/2011,25.29,0.25
29/11/2011,25.24,0.25
30/11/2011,25.29,0.25
01/12/2011,25.23,0.25
02/12/2011,25.27,0.25
05/12/2011,25.34,0.25
06/12/2011,25.3,0.25
07/12/2011,25.35,0.25
08/12/2011,24.98,0.25
09/12/2011,25.25,0.25
12/12/2011,25.32,0.25
13/12/2011,25.34,0.25
14/12/2011,25.29,0.25
15/12/2011,25.21,0.25
16/12/2011,25.31,0.25
19/12/2011,25.39,0.25
20/12/2011,25.39,0.25
21/12/2011,25.33,0.25
22/12/2011,25.33,0.25
23/12/2011,25.3,0.25
27/12/2011,25.25,0.25
28/12/2011,25.33,0.25
29/12/2011,25.21,0.25
30/12/2011,25.3,0.25
03/01/2012,25.25,0.25
04/01/2012,25.32,0.25
05/01/2012,25.45,0.25
06/01/2012,25.38,0.25
09/01/2012,25.48,0.25
10/01/2012,25.32,0.25
11/01/2012,25.5,0.25
12/01/2012,25.35,0.25
13/01/2012,25.23,0.25
17/01/2012,25.45,0.25
18/01/2012,25.44,0.25
19/01/2012,25.44,0.25
20/01/2012,25.34,0.25
